premise	hypothesis	ans	label
If a rectangle has a length of 10 feet and a width of 5 feet	What is the area of the rectangle in square feet?	50	True
If a package of paper has 500 sheets and you use 100 sheets	How many sheets are left in the package?	400	True
If a car travels 40 miles per hour	How many miles will it travel in 3 hours?	120	True
If a recipe calls for 1 tablespoon of salt and you need 1/4 cup	How many tablespoons of salt do you need?	4	True
If a soccer team has 11 players and 3 are injured	How many players are available to play in the game?	8	True
If a bottle of water is 500 milliliters	How many liters is it?	0.5	True
If a birthday cake has 16 slices and 6 are left	How many slices have been eaten?	10	True
If a tank holds 50 gallons of water and is filled to 80% capacity	How many gallons of water are in the tank?	40	True
If a square has an area of 16 square feet	What is the length of one side of the square in feet?	4	True
If a recipe calls for 1/3 cup of sugar and you need 2 cups	How many times do you need to multiply the recipe?	6	True
If a football field is 100 yards long	How many feet is it?	300	True
If a jar of peanut butter has 20 ounces and you use 4 ounces	How many ounces are left in the jar?	16	True
If a recipe calls for 2 teaspoons of baking powder and you need 1/2 cup	How many teaspoons of baking powder do you need?	24	True
If a triangle has a base of 6 feet and a height of 8 feet	What is the area of the triangle in square feet?	24	True
If a train travels 300 miles in 5 hours	What is the average speed of the train in miles per hour?	60	True
If a pizza has 8 slices and you eat 2 slices	How many slices are left?	6	True
If a bottle of soda is 20 ounces	How many milliliters is it?	591.5	True
If a recipe calls for 1/2 teaspoon of salt and you need 4 cups	How many teaspoons of salt do you need?	96	True
If a rectangle has an area of 40 square feet and a width of 4 feet	What is the length of the rectangle in feet?	10	True
If a pack of gum has 12 pieces and you give away 3	How many pieces of gum do you have left?	9	True
If a car travels 45 miles per hour	How many miles will it travel in 2 hours?	90	True
If a recipe calls for 2 cups of flour and you only have 1 cup	How much more flour do you need to complete the recipe?	1	True
If a movie starts at 7:30 pm and lasts for 2 hours and 15 minutes	What time will it end?	9:45 pm	True
If a tank holds 100 gallons of water and is filled to 75% capacity	How many gallons of water are in the tank?	75	True
If a recipe calls for 1/4 teaspoon of baking soda and you need 2 cups	How many teaspoons of baking soda do you need?	12	True
If a cake has a diameter of 8 inches	What is the circumference of the cake in inches?	25.12	True
If a book has 300 pages and you have read 100 pages	How many pages do you have left to read?	200	True
If a recipe calls for 1/2 cup of sugar and you need 2 cups	How many times do you need to multiply the recipe?	4	True
If a soccer ball has a circumference of 28 inches	What is the diameter of the soccer ball in inches?	8.91	True
If a rectangle has a length of 8 feet and a width of 6 feet	What is the perimeter of the rectangle in feet?	28	True
If a recipe calls for 3 cups of milk and you only have 2 cups	How much more milk do you need to complete the recipe?	1	True
If a car travels 70 miles per hour	How many miles will it travel in 1.5 hours?	105	True
If a package of pencils has 10 pencils and you use 3	How many pencils are left?	7	True
If a recipe calls for 1/2 teaspoon of vanilla extract and you need 1 cup	How many teaspoons of vanilla extract do you need?	24	True
If a football field is 160 feet wide	How many yards wide is it?	53.33	True
If a recipe calls for 2 cups of sugar and you need 3/4 cup	How many times do you need to divide the recipe?	0.375	True
If a square has an area of 49 square meters	What is the length of one side of the square in meters?	7	True
If a water bottle is 1 liter	How many milliliters is it?	1000	True
If a recipe calls for 1/4 cup of olive oil and you need 1 cup	How many tablespoons of olive oil do you need?	16	True
If a pack of gum has 12 pieces and you eat 5 pieces	How many pieces of gum do you have left?	7	True
If a book has 400 pages and you have read 25% of it	How many pages have you read?	100	True
If a recipe calls for 2 tablespoons of salt and you need 6 cups	How many teaspoons of salt do you need?	36	True
If a square has a perimeter of 32 meters	What is the length of one side of the square in meters?	8	True
If a car travels 60 miles per hour	How many miles will it travel in 3 hours?	180	True
If a recipe calls for 3/4 cup of flour and you only have 1/2 cup	How much more flour do you need to complete the recipe?	0.25	True
If a pizza has a diameter of 12 inches	What is the area of the pizza in square inches?	113.1	True
If a recipe calls for 1/4 cup of honey and you need 2 cups	How many tablespoons of honey do you need?	32	True
If a triangle has a base of 10 meters and a height of 6 meters	What is the area of the triangle in square meters?	30	True
If a recipe calls for 2 cups of flour and you only have 1/2 cup	How much more flour do you need to complete the recipe?	1.5	True
If a car travels 50 miles per hour	How many miles will it travel in 4 hours?	200	True
If a rectangle has a length of 10 feet and a width of 3 feet	What is the area of the rectangle in square feet?	30	True
If a recipe calls for 1/2 cup of milk and you need 1 cup	How many tablespoons of milk do you need?	16	True
If a book has 200 pages and you have read 25 pages	What percentage of the book have you read?	12.5	True
If a recipe calls for 1/4 teaspoon of cinnamon and you need 3 cups	How many teaspoons of cinnamon do you need?	36	True
If a room has a length of 12 feet, a width of 10 feet, and a height of 8 feet	What is the volume of the room in cubic feet?	960	True
If a recipe calls for 2 cups of sugar and you need 4 cups	How many times do you need to multiply the recipe?	2	True
If a car travels 35 miles per hour	How many miles will it travel in 2.5 hours?	87.5	True
If a recipe calls for 1/3 cup of vegetable oil and you need 2 cups	How many tablespoons of vegetable oil do you need?	32	True
If a box has a volume of 60 cubic feet and a width of 3 feet	What is the length of the box in feet?	20	True
If a recipe calls for 1/4 cup of sugar and you need 1.5 cups	How many tablespoons of sugar do you need?	24	True
If a ladder is 10 meters long and leans against a wall at a 60 degree angle	How far up the wall does the ladder reach in meters?	5	True
If a recipe calls for 1/2 cup of butter and you need 1.5 cups	How many tablespoons of butter do you need?	24	True
If a rectangular prism has a volume of 300 cubic meters, a length of 10 meters, and a height of 3 meters	What is the width of the prism in meters?	10	True
If a recipe calls for 1/4 teaspoon of salt and you need 2 cups	How many teaspoons of salt do you need?	48	True
If a car travels 70 miles per hour	How many miles will it travel in 2 hours?	140	True
If a recipe calls for 3/4 cup of brown sugar and you need 2 cups	How many tablespoons of brown sugar do you need?	32	True
If a triangle has a base of 8 meters and a height of 4 meters	What is the area of the triangle in square meters?	16	True
If a recipe calls for 2/3 cup of milk and you need 3 cups	How many tablespoons of milk do you need?	72	True
If a square has an area of 64 square meters	What is the length of one side of the square in meters?	8	True
If a recipe calls for 1/2 teaspoon of vanilla extract and you need 2 cups	How many teaspoons of vanilla extract do you need?	24	True
If a car travels 45 miles per hour	How many miles will it travel in 1.5 hours?	67.5	True
If a cylindrical tank has a volume of 1000 cubic meters and a radius of 5 meters	What is the height of the tank in meters?	40	True
If a recipe calls for 1/3 cup of honey and you need 3 cups	How many tablespoons of honey do you need?	48	True
If a rectangular prism has a volume of 48 cubic meters, a length of 4 meters, and a height of 2 meters	What is the width of the prism in meters?	6	True
If a recipe calls for 1 cup of flour and you need 3 cups	How many tablespoons of flour do you need?	48	True
If a car travels 55 miles per hour	How many miles will it travel in 2.5 hours?	137.5	True
If a recipe calls for 1/4 teaspoon of black pepper and you need 2 cups	How many teaspoons of black pepper do you need?	48	True
If a circle has a radius of 6 meters	What is the circumference of the circle in meters?	37.7	True
If a recipe calls for 2/3 cup of sugar and you need 6 cups	How many tablespoons of sugar do you need?	192	True
If a rectangular prism has a volume of 60 cubic meters, a width of 3 meters, and a height of 4 meters	What is the length of the prism in meters?	5	True
